response,trial_index,time_elapsed,participantID,age,gender,language,amE,education,comments,content,qud,prior,utterance,predicate,valence
0.91,1,46388,108,37,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.87,1,77813,607,60,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
1,1,84626,539,50,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
1,1,43803,75,46,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.3,1,16350,307,24,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.41,1,30150,163,49,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
1,1,41976,693,58,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.81,1,67452,872,18,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0.48,1,36813,336,35,male,English,AmE,hold a higher degree,""":""na""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
1,1,65030,597,41,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.69,1,138581,423,56,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.8,1,40408,760,25,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0,1,88343,678,27,female,English,AmE,some high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.04,1,44498,708,62,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.3,1,35009,320,58,male,English,AmE,graduated college,""":""None""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
1,1,27396,340,33,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
