participantID,age,gender,language,amE,education,comments,content,qud,utterance,predicate,valence,responseCC,responseMC
2,54,non-binary,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,think-pos,think,pos,0.56,1
1,39,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,know-pos,know,pos,0.92,1
3,21,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,think-neg,think,neg,0.24,0.22
4,43,female,English,AmE,some college,""":""great study""}",Charley speaks Spanish,nai,think-neg,think,neg,0.56,0.19
